market,market_label,symbol,anchor,cycle_id,broad_episode_id,cycle_start_year,anchor_date,episode_weight,ret_3m,ret_6m,ret_12m,mdd_12m,mae_12m,mfe_12m,mdd_trough_month
NIKKEI_225,Nikkei 225,^N225,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,-0.025172559160278385,-0.0413178346274331,0.07704449627908172,0.06861655525038246,-0.06861655525038246,0.07704449627908172,1
NIKKEI_225,Nikkei 225,^N225,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,-0.041932348448341705,0.08234914837983243,0.22434978354810342,0.041932348448341705,-0.041932348448341705,0.22434978354810342,3
NIKKEI_225,Nikkei 225,^N225,PAUSE_START,T02_1984,B01,1984,1984-08-21,1.0,0.10865122213753553,0.1892918507380188,0.23621171006512176,0.01754719675622729,0.0,0.25829119320898775,12
NIKKEI_225,Nikkei 225,^N225,PAUSE_START,T04_1987,B02,1987,1987-11-03,1.0,-0.02040505661324421,0.10526560664960272,0.15765717591640138,0.08369720823738247,-0.08369720823738247,0.15765717591640138,1
NIKKEI_225,Nikkei 225,^N225,PAUSE_START,T06_1994,B03,1994,1995-03-28,1.0,-0.16748303809110665,0.001778513997280795,0.13059712072206509,0.16748303809110665,-0.16748303809110665,0.14191225381710604,3
NIKKEI_225,Nikkei 225,^N225,PAUSE_START,T07_1999,B04,1999,2000-06-28,1.0,-0.05115533754563717,-0.15435684644834302,-0.238561331325708,0.2541966923055222,-0.2541966923055222,0.0,9
NIKKEI_225,Nikkei 225,^N225,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,0.06294843947642792,0.1712274380258012,0.08670710701035667,0.08557192017381887,0.0,0.1884008496512084,12
NIKKEI_225,Nikkei 225,^N225,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,0.044333390468269895,0.026685411760055677,0.12411810343681573,0.060787057595275584,-0.019148563486794168,0.12494796482604897,7
NIKKEI_225,Nikkei 225,^N225,PAUSE_START,T10_2022,B07,2022,2023-09-20,1.0,0.02955238017640527,0.23865483669191345,0.15979091442428017,0.08053345835960635,-0.02444642149070253,0.2466956908032436,11
NIKKEI_225,Nikkei 225,^N225,FIRST_CUT,T01_1983,B01,1983,1983-08-17,0.5,0.04179293888340618,0.11579122333583092,0.16108640429458254,0.06983263974420473,0.0,0.2173034511032883,11
NIKKEI_225,Nikkei 225,^N225,FIRST_CUT,T02_1984,B01,1984,1984-09-20,0.5,0.10092321068148502,0.19684172095539898,0.21015123051565787,0.01754719675622729,0.0,0.22709042264081902,11
NIKKEI_225,Nikkei 225,^N225,FIRST_CUT,T03_1987,B02,1987,1987-07-02,0.3333333333333333,-0.017187649998319898,-0.09759835613163925,0.09598271179175288,0.1073065128521814,-0.10514017625469774,0.10438857043208571,4
NIKKEI_225,Nikkei 225,^N225,FIRST_CUT,T04_1987,B02,1987,1987-11-04,0.3333333333333333,-0.02040505661324421,0.10526560664960272,0.15765717591640138,0.08369720823738247,-0.08369720823738247,0.15765717591640138,1
NIKKEI_225,Nikkei 225,^N225,FIRST_CUT,T05_1988,B02,1988,1989-06-06,0.3333333333333333,0.019412178766488042,0.12182257029706323,-0.047796402690838846,0.23322656077443238,-0.13981624957245475,0.12182257029706323,10
NIKKEI_225,Nikkei 225,^N225,FIRST_CUT,T06_1994,B03,1994,1995-07-06,1.0,0.19363898592474538,0.3628954594097433,0.433464559016415,0.028262040779478803,0.0,0.4751554628639467,12
NIKKEI_225,Nikkei 225,^N225,FIRST_CUT,T07_1999,B04,1999,2001-01-03,1.0,-0.06925174865697514,-0.1567428159520904,-0.28515042391338674,0.306244536419887,-0.306244536419887,0.0,8
NIKKEI_225,Nikkei 225,^N225,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,-0.05564008739658355,-0.23437451243866847,-0.2634978179190064,0.2827739812373449,-0.2634978179190064,0.026875995591450152,12
NIKKEI_225,Nikkei 225,^N225,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,0.0540007830617919,0.12263481225657014,0.06976509285625654,0.19806835835283465,-0.09905900805772516,0.12346357863089752,8
NIKKEI_225,Nikkei 225,^N225,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,0.06572986719050622,0.011891404123271831,0.19920182245657148,0.12608801595339647,-0.0686226553992304,0.19920182245657148,7
KOSPI,KOSPI Composite,^KS11,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,0.24344008650772997,0.3207149097723574,0.06657902926677361,0.2678717965368146,-0.03306736582132086,0.3207149097723574,11
KOSPI,KOSPI Composite,^KS11,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,0.04648028757818068,0.09298271350056342,0.24105059029898035,0.06600020389256345,-0.06600020389256345,0.24105059029898035,1
KOSPI,KOSPI Composite,^KS11,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,-0.015087947967114546,-0.014825449726508677,0.007417707041265098,0.05587552612198077,-0.05587552612198077,0.017826720925416817,1
KOSPI,KOSPI Composite,^KS11,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,-0.09143361067429989,-0.1432027757309603,-0.11249954937832018,0.18125595446520348,-0.18125595446520348,0.0,7
KOSPI,KOSPI Composite,^KS11,LAST_HIKE,T07_1999,B04,1999,2000-05-16,1.0,-0.07618064104526989,-0.3022262561088416,-0.22957789898433767,0.3379500598111358,-0.32495899298316033,0.019622487729958005,7
