asset,stress_observable,cycle_id,broad_episode_id,cycle_start_year,anchor_date,paired_episode_weight,asset_trough_month,stress_peak_month,lead_months,abs_gap_months,stress_before,same_month,before_or_same,near_2m,both_late_7plus,max_stress_move
WTI,BAA10Y_SPREAD,T07_1999,B04,1999,2001-01-03,1.0,11,9,2,2,True,False,True,True,True,56.00000000000001
WTI,BAA10Y_SPREAD,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,164.0
WTI,BAA10Y_SPREAD,T09_2015,B06,2015,2019-07-31,1.0,9,9,0,0,False,True,True,True,True,108.0
WTI,BAA10Y_SPREAD,T10_2022,B07,2022,2024-09-18,1.0,8,7,1,1,True,False,True,True,True,16.999999999999993
WTI,VIX,T06_1994,B03,1994,1995-07-06,1.0,11,12,-1,1,False,False,False,True,True,6.081818181818182
WTI,VIX,T07_1999,B04,1999,2001-01-03,1.0,11,8,3,3,True,False,True,False,True,8.534833333333335
WTI,VIX,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,5.212484472049688
WTI,VIX,T09_2015,B06,2015,2019-07-31,1.0,9,8,1,1,True,False,True,True,True,41.90081818181818
WTI,VIX,T10_2022,B07,2022,2024-09-18,1.0,8,7,1,1,True,False,True,True,True,12.653917748917744
WTI,COPPER,T06_1994,B03,1994,1995-07-06,1.0,11,12,-1,1,False,False,False,True,True,0.3474191050855724
WTI,COPPER,T07_1999,B04,1999,2001-01-03,1.0,11,9,2,2,True,False,True,True,True,0.2564370076892032
WTI,COPPER,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,0.1995675805374729
WTI,COPPER,T09_2015,B06,2015,2019-07-31,1.0,9,9,0,0,False,True,True,True,True,0.1676945892855307
WTI,COPPER,T10_2022,B07,2022,2024-09-18,1.0,8,3,5,5,True,False,True,False,False,0.0654587944495498
