series,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,chg_3m_bp,chg_6m_bp,chg_12m_bp,max_increase_12m_bp,max_decrease_12m_bp
DGS10,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,-16.443935926773445,-27.33834586466166,-59.916267942583715,10.674641148325392,-110.5071770334928
DGS10,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,-39.100000000000094,-54.550000000000054,-0.7142857142858006,-0.7142857142858006,-54.550000000000054
DGS10,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,-54.604761904761915,-104.30000000000001,-125.41428571428573,-40.31904761904759,-149.06363636363636
DGS10,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,105.00000000000003,31.000000000000007,50.054112554112564,105.00000000000003,27.19047619047621
DGS10,PAUSE_START,T02_1984,B01,1984-08-21,1.0,-178.9749373433585,-185.3492063492064,-303.05627705627705,-83.97493734335839,-320.6380952380952
DGS10,PAUSE_START,T04_1987,B02,1987-11-03,1.0,-130.80000000000015,-43.09523809523821,-55.7500000000001,-25.956521739130523,-130.80000000000015
DGS10,PAUSE_START,T06_1994,B03,1995-03-28,1.0,-130.12918660287073,-127.19736842105256,-120.09022556390975,-40.684210526315745,-181.70927318295728
DGS10,PAUSE_START,T07_1999,B04,2000-06-28,1.0,-64.1454545454545,-119.99545454545455,-115.61688311688316,-38.64545454545451,-155.49999999999997
DGS10,PAUSE_START,T08_2004,B05,2006-08-08,1.0,-49.226190476190546,-36.486842105263136,-41.27173913043487,1.5357142857141959,-52.300000000000054
DGS10,PAUSE_START,T09_2015,B06,2019-01-30,1.0,-30.025062656641623,-77.35406698564593,-107.50125313283205,-15.631578947368396,-120.6267942583732
DGS10,PAUSE_START,T10_2022,B07,2023-09-20,1.0,-14.782608695652133,4.067391304347812,-44.43260869565218,63.02691511387168,-44.43260869565218
DGS10,FIRST_CUT,T01_1983,B01,1983-08-17,0.5,31.30000000000024,46.51052631578967,133.90869565217383,218.58571428571435,16.400000000000148
DGS10,FIRST_CUT,T02_1984,B01,1984-09-20,0.5,-121.6586956521736,-86.08488612836408,-234.29290617848952,-55.563241106719374,-256.0086956521736
DGS10,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,111.7727272727274,26.351674641148293,65.37272727272736,111.7727272727274,-19.02727272727276
DGS10,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,-130.80000000000015,-43.09523809523821,-55.7500000000001,-25.956521739130523,-130.80000000000015
DGS10,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,-66.85909090909092,-102.30909090909091,-37.90909090909089,-7.35909090909086,-102.30909090909091
DGS10,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,-12.34199134199132,-51.58008658008653,69.72727272727272,74.38181818181829,-51.58008658008653
DGS10,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,-9.949999999999992,-0.4309523809522986,-20.478571428571435,15.086363636363664,-67.36818181818185
DGS10,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,-57.72826086956515,-116.47826086956515,-98.85921325051754,-14.705533596837927,-116.47826086956515
DGS10,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,-36.718181818181804,-31.638095238095197,-145.03636363636363,-21.114285714285707,-145.03636363636363
DGS10,FIRST_CUT,T10_2022,B07,2024-09-18,1.0,52.05194805194808,40.95670995670999,24.95670995670998,75.81385281385278,22.454545454545418
