asset,asset_label,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,ret_3m,ret_6m,ret_12m,mdd_12m,mdd_trough_month
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,-0.06342972955976445,-0.04175234738467293,-0.02211058965725865,0.07429307813972585,2
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,0.04123290890838294,0.09095861054978815,0.093559925338355,0.054517710534588315,8
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,0.008805696759548232,-0.017697622768422128,-0.02817769395462011,0.04902238103970813,11
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.0002214525256676314,0.0004451334312198796,0.006358298089074399,0.012407026188746006,12
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,0.03143456669164135,-0.0013300342375137664,0.014533241754995263,0.03450937445581215,5
DXY,U.S. Dollar Index market proxy,PAUSE_START,T02_1984,B01,1984-08-21,1.0,0.04049547773753326,0.13770200694741397,-0.012554803371037204,0.13207044498550868,12
DXY,U.S. Dollar Index market proxy,PAUSE_START,T04_1987,B02,1987-11-03,1.0,-0.05662233362586222,-0.07056301604881343,-0.049779820813804165,0.08207517690102217,1
DXY,U.S. Dollar Index market proxy,PAUSE_START,T06_1994,B03,1995-03-28,1.0,-0.05772125572670783,-0.017688875359053835,-0.007630144393851568,0.06299687572978274,1
DXY,U.S. Dollar Index market proxy,PAUSE_START,T07_1999,B04,2000-06-28,1.0,0.032243192627329664,0.01750304921916568,0.07369250438460306,0.054517710534588315,7
DXY,U.S. Dollar Index market proxy,PAUSE_START,T08_2004,B05,2006-08-08,1.0,-0.012206522873611902,-0.017308564739096144,-0.057725516392598486,0.06444266004835475,11
DXY,U.S. Dollar Index market proxy,PAUSE_START,T09_2015,B06,2019-01-30,1.0,0.004983514368466668,0.005059255643867111,0.005784731614288718,0.012407026188746006,11
DXY,U.S. Dollar Index market proxy,PAUSE_START,T10_2022,B07,2023-09-20,1.0,-0.00401101046321195,0.0051163621178687,-0.020156079164956986,0.05016006200764067,12
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T01_1983,B01,1983-08-17,0.5,0.02877651751209709,0.04068534086738995,0.10732558070559284,0.051817888867160544,7
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T02_1984,B01,1984-09-20,0.5,0.06445305515609223,0.12885104066279474,-0.004527713838036074,0.13207044498550868,11
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,-0.011885213380661841,-0.0878715116263451,-0.0128281132401038,0.10852939968244268,5
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,-0.05662233362586222,-0.07056301604881343,-0.049779820813804165,0.08207517690102217,1
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,0.009350961935059132,-0.061012641696836845,-0.08439948887343363,0.09620559627106995,11
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,0.02277723766073092,0.04828849274841862,0.06154710427299048,0.0189042687198252,3
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,0.02468839244795995,0.05076715194827375,0.044698486131233395,0.047467417793964795,8
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,-0.05153263101262684,-0.10479156141667934,-0.03299567120120028,0.1089514768525619,7
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,0.014137184079080045,0.006525416728091038,-0.013330056218421649,0.044026024681736775,12
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T10_2022,B07,2024-09-18,1.0,0.04869523695808997,0.01931673276880197,-0.044290103137493264,0.10057479417487158,12
