asset,phase,scope_tier,support_status,weighted_km_median_months_50,weighted_km_median_months_100,recovery_support_status_50,recovery_support_status_100,weighted_km_median_anchor_to_50_months,weighted_km_median_anchor_to_100_months,observed_50_recoveries,censored_50_recoveries,observed_100_recoveries,censored_100_recoveries,causal_status,oos_status,deployment_status
NIKKEI_225,FIRST_CUT,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
NIKKEI_225,FIRST_HIKE,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
NIKKEI_225,LAST_HIKE,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
NIKKEI_225,PAUSE_START,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
SHANGHAI_COMPOSITE,FIRST_CUT,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
SHANGHAI_COMPOSITE,FIRST_HIKE,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
SHANGHAI_COMPOSITE,LAST_HIKE,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
SHANGHAI_COMPOSITE,PAUSE_START,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
BTC_USD,FIRST_CUT,LIMITED_EXTENSION,LIMITED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
BTC_USD,FIRST_HIKE,LIMITED_EXTENSION,LIMITED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
