period,WB_PRICE,WB_RET_3M,WB_RET_6M,WB_VOL_6M,GCF_PRICE,GCF_N_DAILY,GCF_RET_3M,GCF_RET_6M,GCF_VOL_6M,ABS_REL_LEVEL_GAP,ABS_RET3_DIFF,ABS_RET6_DIFF,ABS_VOL6_DIFF
2013-05,1414.0,-0.1314496314496314,-0.17886178861788615,0.022335404921553843,1416.6181918057528,22,-0.1295571765698763,-0.1770159078418384,0.022017999184074016,0.001851620796147646,0.00189245487975509,0.001845880776047748,0.000317405737479827
2013-06,1343.0,-0.1569365976145637,-0.20296735905044505,0.022677439707604233,1342.1350036621093,20,-0.1566881665188763,-0.20318752314120125,0.022793770556453374,0.0006440776901643908,0.00024843109568739585,0.00022016409075620302,0.00011633084884914158
2013-07,1286.0,-0.135752688172043,-0.23086124401913877,0.01724427771814264,1285.8045543323863,22,-0.13392097045169138,-0.2302634729149946,0.017610170767592914,0.00015197952380541224,0.0018317177203516222,0.0005977711041441625,0.0003658930494502728
2013-08,1352.0,-0.04384724186704381,-0.16953316953316955,0.04245433311294765,1352.6681574041193,22,-0.04514274542819252,-0.1688513553577795,0.04279088044225185,0.0004941992634017733,0.0012955035611487142,0.0006818141753900386,0.0003365473293042015
2013-09,1349.0,0.004467609828741725,-0.15317011927181423,0.04402095273884627,1345.985009765625,20,0.002868568432393692,-0.15426906881468838,0.04405070308157308,0.0022349816414937163,0.0015990413963480332,0.0010989495428741503,2.9750342726807266e-05
2013-10,1317.0,0.024105754276827263,-0.11491935483870963,0.03934273714505133,1316.8347751783288,23,0.024132921867004775,-0.11301995290095068,0.03906645721670466,0.00012545544546027632,2.716759017751258e-05,0.0018994019377589488,0.0002762799283466677
2013-11,1276.0,-0.056213017751479244,-0.09759547383309763,0.037050166809043356,1275.104998779297,20,-0.05734086235435032,-0.09989508383064738,0.037471081262690976,0.0007014116149710592,0.0011278446028710754,0.0022996099975497453,0.00042091445364762087
2013-12,1222.0,-0.0941438102297999,-0.09009679821295602,0.03564064721340518,1225.0095156715029,21,-0.08987878261377324,-0.08726803761992741,0.035116970829916314,0.002462778781917141,0.004265027616026651,0.002828760593028612,0.0005236763834888664
2014-01,1244.0,-0.05542900531511008,-0.03265940902021769,0.034902051887301236,1244.0619012741815,21,-0.05526348124751801,-0.0324642286555582,0.033982052239802316,4.975986670552324e-05,0.00016552406759207106,0.0001951803646594863,0.0009199996474989203
2014-02,1300.0,0.018808777429467183,-0.038461538461538436,0.03302165944147522,1300.9842143811677,19,0.020295752605978157,-0.03820888570492953,0.03204421580250598,0.0007570879855136603,0.001486975176510974,0.0002526527566089065,0.00097744363896924
2014-03,1336.0,0.09328968903436996,-0.00963676797627877,0.03587232324261929,1336.4285714285713,21,0.09095362471204393,-0.007099958965157915,0.03486155540058959,0.000320786997433542,0.002336064322326026,0.0025368090111208552,0.0010107678420296987
2014-04,1298.0,0.04340836012861726,-0.014426727410782103,0.03652627714290485,1298.423793247768,21,0.043697095713572054,-0.013981239163483927,0.03579098298113759,0.00032649710922028063,0.00028873558495479124,0.0004454882472981758,0.0007352941617672637
2014-05,1289.0,-0.00846153846153841,0.010188087774294585,0.03387361402681439,1287.538097563244,21,-0.010335342019748839,0.009750647041498306,0.03303393739953355,0.0011341368787866069,0.0018738035582104295,0.00043744073279627926,0.0008396766272808359
2014-06,1279.0,-0.042664670658682624,0.04664484451718498,0.02682787589954494,1282.161900111607,21,-0.040605740162346304,0.04665464529781671,0.026594967282996426,0.0024721658417570236,0.0020589304963363197,9.800780631730177e-06,0.00023290861654851405
2014-07,1311.0,0.01001540832049308,0.053858520900321505,0.027490810650115837,1310.6363636363637,22,0.009405688999312378,0.0535137860053394,0.027108492886219707,0.00027737327508481346,0.0006097193211807017,0.00034473489498210164,0.00038231776389613045
