asset,event_month,n_legs,n_broad_episodes,weighted_median_cum_return,weighted_q25_cum_return,weighted_q75_cum_return,weighted_median_running_mdd,weighted_q75_running_mdd,weighted_new_event_low_share,weighted_new_running_mdd_share,event_trough_cdf,mdd_trough_cdf,mdd_trough_hazard
GOLD,12,10,7,0.030711206896551824,-0.025839793281653756,0.06537753222836096,0.11575562700964626,0.14093959731543626,0.047619047619047616,0.3333333333333333,0.8333333333333333,0.5,0.36363636363636365
GOLD,13,10,7,0.021739130434782705,-0.012919896640826822,0.09760589318600377,0.13656716417910453,0.14093959731543626,0.09523809523809523,0.14285714285714285,0.8333333333333333,0.5,0.0
GOLD,14,10,7,0.010335917312661591,-0.005543478260869428,0.13627992633517505,0.13656716417910453,0.14093959731543626,0.09523809523809523,0.23809523809523808,0.8333333333333333,0.5,0.0
GOLD,15,10,7,-0.0051679586563307955,-0.007246376811594235,0.13351749539594837,0.13656716417910453,0.14093959731543626,0.047619047619047616,0.19047619047619047,0.8333333333333333,0.5,0.0
GOLD,16,10,7,0.0025839793281654533,-0.021739130434782594,0.16666666666666674,0.13656716417910453,0.14093959731543626,0.07142857142857142,0.21428571428571427,0.8333333333333333,0.5,0.0
GOLD,17,10,7,-0.0025839793281653423,-0.036231884057971064,0.1473296500920811,0.14093959731543626,0.14469453376205788,0.09523809523809523,0.23809523809523808,0.8333333333333333,0.5,0.0
GOLD,18,10,7,-0.007751937984496138,-0.018115942028985477,0.16022099447513805,0.14093959731543626,0.14469453376205788,0.16666666666666666,0.21428571428571425,0.8809523809523808,0.5476190476190476,0.09523809523809523
GOLD,19,10,7,-0.01033591731266148,-0.03985507246376807,0.1390423572744015,0.14093959731543626,0.14790996784565913,0.0,0.19047619047619047,0.8809523809523808,0.5476190476190476,0.0
GOLD,20,10,7,-0.01033591731266148,-0.050724637681159424,0.1813996316758748,0.14093959731543626,0.157556270096463,0.047619047619047616,0.23809523809523808,0.8809523809523808,0.5476190476190476,0.0
GOLD,21,10,7,-0.0051679586563307955,-0.047101449275362306,0.20994475138121538,0.14093959731543626,0.1625514403292181,0.11904761904761904,0.16666666666666666,0.8809523809523808,0.5476190476190476,0.0
GOLD,22,10,7,0.0,-0.05797101449275366,0.17863720073664835,0.14093959731543626,0.16398713826366562,0.11904761904761904,0.2619047619047619,0.8809523809523808,0.6904761904761905,0.31578947368421056
GOLD,23,10,7,0.03100775193798455,-0.01449275362318836,0.18047882136279925,0.14093959731543626,0.16398713826366562,0.07142857142857142,0.07142857142857142,0.9523809523809523,0.7619047619047619,0.23076923076923078
GOLD,24,10,7,0.04651162790697683,-0.021739130434782594,0.16390423572744006,0.14093959731543626,0.16872427983539096,0.047619047619047616,0.23809523809523808,1.0,1.0,1.0
NASDAQ,1,10,7,-0.00906430048871254,-0.03630299159514172,0.0910090203649252,0.0023399690012059216,0.03630299159514172,0.6428571428571429,1.0,0.0,0.0,0.0
NASDAQ,2,10,7,-0.05612120725443448,-0.12184959884466473,0.05168126614479873,0.05612120725443448,0.12184959884466473,0.6190476190476192,0.8095238095238094,0.3333333333333333,0.14285714285714285,0.14285714285714285
NASDAQ,3,10,7,-0.06238660276315566,-0.0761699411357214,0.11754845753759224,0.06238660276315566,0.12184959884466473,0.4047619047619047,0.4523809523809524,0.3333333333333333,0.14285714285714285,0.0
NASDAQ,4,10,7,-0.03744962032824861,-0.08641453251721487,0.12046576016694543,0.08195176643941493,0.12184959884466473,0.2619047619047619,0.38095238095238093,0.4523809523809524,0.2619047619047619,0.13888888888888887
NASDAQ,5,10,7,-0.015882969589495755,-0.09428983856752704,0.15939913955205287,0.08641453251721487,0.12184959884466473,0.14285714285714285,0.2619047619047619,0.5952380952380951,0.4047619047619047,0.19354838709677422
NASDAQ,6,10,7,-0.009362773409338554,-0.06207501430646856,0.17305261340442457,0.08641453251721487,0.12184959884466473,0.14285714285714285,0.14285714285714285,0.5952380952380951,0.4047619047619047,0.0
