event_id,cycle_id,cycle_start_year,event_type,event_date,asset,asset_kind,baseline_date,baseline_value,first_post_date,usable_post_obs_252,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,ret_252d,mae,mfe,time_to_event_min_obs,time_to_event_max_obs,mdd,mdd_peak_obs,mdd_trough_obs,time_peak_to_trough_obs,recovery50_obs_from_trough,recovery100_obs_from_trough,recovery50_obs_from_event,recovery100_obs_from_event,recovery50_observed,recovery100_observed,recovery_censor_obs,rv_20d_ann,down_semivol_20d_ann,tail_loss_freq_20d,rv_60d_ann,down_semivol_60d_ann,tail_loss_freq_60d,rv_120d_ann,down_semivol_120d_ann,tail_loss_freq_120d,rv_252d_ann,down_semivol_252d_ann,tail_loss_freq_252d,min_bp_excursion,max_bp_excursion,time_to_min_obs,time_to_max_obs,chg_1d_bp,chg_5d_bp,chg_20d_bp,chg_60d_bp,chg_120d_bp,chg_252d_bp,bp_vol_20d_ann,bp_vol_60d_ann,bp_vol_120d_ann,bp_vol_252d_ann
T02_1984_FIRST_HIKE,T02_1984,1984,FIRST_HIKE,1984-03-29,SP500,price,1984-03-28,159.8800048828125,1984-03-29,252,-0.0022516925153676093,-0.014636049069393309,0.002626958694760928,-0.03390041283097289,0.04859887901158788,0.12296714912993978,-0.07543155610630226,0.14679760135050013,81.0,223.0,0.08696718408320692,24.0,81.0,57.0,7.0,8.0,88.0,89.0,True,True,756.0,0.11718039606355557,0.07708738278461556,0.05,0.12110660025010292,0.08464925348871219,0.03333333333333333,0.13246116813576045,0.07758551450405271,0.025,0.12291051843478318,0.06994298258953544,0.011904761904761904,,,,,,,,,,,,,,
T02_1984_FIRST_HIKE,T02_1984,1984,FIRST_HIKE,1984-03-29,NASDAQ,price,1984-03-28,251.01,1984-03-29,252,0.00247002111469663,-0.009959762559260565,-0.020238237520417424,-0.03944065973467181,0.011872036970638655,0.10577267837934756,-0.10242619815943577,0.14875901358511623,82.0,220.0,0.10952136279198443,24.0,82.0,58.0,7.0,19.0,89.0,101.0,True,True,756.0,0.08037455346696915,0.06469101526906394,0.0,0.10073171998812541,0.07810997170800044,0.016666666666666666,0.11341697318290571,0.0719096062150168,0.008333333333333333,0.1093793384859658,0.06759488024853902,0.007936507936507936,,,,,,,,,,,,,,
T02_1984_FIRST_HIKE,T02_1984,1984,FIRST_HIKE,1984-03-29,DGS2,rate,1984-03-28,11.48,1984-03-29,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-174.00000000000003,168.99999999999994,205.0,62.0,0.9999999999999787,27.999999999999936,28.999999999999915,167.0,61.99999999999992,-99.00000000000003,124.5149325223787,162.99559108106072,144.83556599285467,142.2053254335902
T02_1984_FIRST_HIKE,T02_1984,1984,FIRST_HIKE,1984-03-29,DGS10,rate,1984-03-28,12.42,1984-03-29,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-135.99999999999994,157.00000000000003,205.0,43.0,-0.9999999999999787,25.0,25.0,132.00000000000003,-7.000000000000028,-68.99999999999994,124.34438594399593,167.1026884121744,153.91313440111756,147.07803441429078
T02_1984_TIGHTENING_CYCLE_START,T02_1984,1984,TIGHTENING_CYCLE_START,1984-03-29,SP500,price,1984-03-28,159.8800048828125,1984-03-29,252,-0.0022516925153676093,-0.014636049069393309,0.002626958694760928,-0.03390041283097289,0.04859887901158788,0.12296714912993978,-0.07543155610630226,0.14679760135050013,81.0,223.0,0.08696718408320692,24.0,81.0,57.0,7.0,8.0,88.0,89.0,True,True,756.0,0.11718039606355557,0.07708738278461556,0.05,0.12110660025010292,0.08464925348871219,0.03333333333333333,0.13246116813576045,0.07758551450405271,0.025,0.12291051843478318,0.06994298258953544,0.011904761904761904,,,,,,,,,,,,,,
T02_1984_TIGHTENING_CYCLE_START,T02_1984,1984,TIGHTENING_CYCLE_START,1984-03-29,NASDAQ,price,1984-03-28,251.01,1984-03-29,252,0.00247002111469663,-0.009959762559260565,-0.020238237520417424,-0.03944065973467181,0.011872036970638655,0.10577267837934756,-0.10242619815943577,0.14875901358511623,82.0,220.0,0.10952136279198443,24.0,82.0,58.0,7.0,19.0,89.0,101.0,True,True,756.0,0.08037455346696915,0.06469101526906394,0.0,0.10073171998812541,0.07810997170800044,0.016666666666666666,0.11341697318290571,0.0719096062150168,0.008333333333333333,0.1093793384859658,0.06759488024853902,0.007936507936507936,,,,,,,,,,,,,,
T02_1984_TIGHTENING_CYCLE_START,T02_1984,1984,TIGHTENING_CYCLE_START,1984-03-29,DGS2,rate,1984-03-28,11.48,1984-03-29,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-174.00000000000003,168.99999999999994,205.0,62.0,0.9999999999999787,27.999999999999936,28.999999999999915,167.0,61.99999999999992,-99.00000000000003,124.5149325223787,162.99559108106072,144.83556599285467,142.2053254335902
T02_1984_TIGHTENING_CYCLE_START,T02_1984,1984,TIGHTENING_CYCLE_START,1984-03-29,DGS10,rate,1984-03-28,12.42,1984-03-29,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-135.99999999999994,157.00000000000003,205.0,43.0,-0.9999999999999787,25.0,25.0,132.00000000000003,-7.000000000000028,-68.99999999999994,124.34438594399593,167.1026884121744,153.91313440111756,147.07803441429078
T02_1984_LAST_HIKE,T02_1984,1984,LAST_HIKE,1984-08-09,SP500,price,1984-08-08,161.75,1984-08-09,252,0.023431179512413136,0.006491518094329685,0.024111245109640578,0.03548689640286895,0.10775884189045604,0.16030907372971415,-0.0004946017375869749,0.20958265160113987,43.0,237.0,0.05046655664985378,63.0,89.0,26.0,3.0,20.0,92.0,109.0,True,True,756.0,0.13240049942368848,0.0655566866447377,0.0,0.12080276719051167,0.06401161336222365,0.0,0.12244191546514605,0.06346050386933043,0.008333333333333333,0.10812987984047248,0.062254845116155186,0.015873015873015872,,,,,,,,,,,,,,
T02_1984_LAST_HIKE,T02_1984,1984,LAST_HIKE,1984-08-09,NASDAQ,price,1984-08-08,248.02,1984-08-09,252,0.009313765018950093,0.006773647286508977,0.016934118216272775,-0.0002015966454318452,0.11349891137811463,0.20232239335537439,-0.04007741311184576,0.2409079912910248,89.0,237.0,0.06854460093896708,26.0,89.0,63.0,11.0,21.0,100.0,110.0,True,True,756.0,0.09110111622358458,0.056216338084552085,0.05,0.08085458113449115,0.053921731945367715,0.016666666666666666,0.08745675806758357,0.048397490967773585,0.008333333333333333,0.09300181021819484,0.05653039080448059,0.015873015873015872,,,,,,,,,,,,,,
T02_1984_LAST_HIKE,T02_1984,1984,LAST_HIKE,1984-08-09,DGS2,rate,1984-08-08,12.37,1984-08-09,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-401.0,26.000000000000156,224.0,19.0,-3.9999999999999147,2.000000000000135,16.999999999999993,-140.99999999999983,-234.0,-340.99999999999983,87.90024250011453,127.49368877699834,129.73212219574523,148.56362742751782
T02_1984_LAST_HIKE,T02_1984,1984,LAST_HIKE,1984-08-09,DGS10,rate,1984-08-08,12.66,1984-08-09,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-283.0,25.99999999999998,203.0,19.0,-5.000000000000071,8.000000000000007,15.000000000000036,-100.0,-131.00000000000006,-227.99999999999994,101.04115888821624,132.4506943759752,136.16937981793114,147.64218617807794
T02_1984_TIGHTENING_CYCLE_END,T02_1984,1984,TIGHTENING_CYCLE_END,1984-08-09,SP500,price,1984-08-08,161.75,1984-08-09,252,0.023431179512413136,0.006491518094329685,0.024111245109640578,0.03548689640286895,0.10775884189045604,0.16030907372971415,-0.0004946017375869749,0.20958265160113987,43.0,237.0,0.05046655664985378,63.0,89.0,26.0,3.0,20.0,92.0,109.0,True,True,756.0,0.13240049942368848,0.0655566866447377,0.0,0.12080276719051167,0.06401161336222365,0.0,0.12244191546514605,0.06346050386933043,0.008333333333333333,0.10812987984047248,0.062254845116155186,0.015873015873015872,,,,,,,,,,,,,,
T02_1984_TIGHTENING_CYCLE_END,T02_1984,1984,TIGHTENING_CYCLE_END,1984-08-09,NASDAQ,price,1984-08-08,248.02,1984-08-09,252,0.009313765018950093,0.006773647286508977,0.016934118216272775,-0.0002015966454318452,0.11349891137811463,0.20232239335537439,-0.04007741311184576,0.2409079912910248,89.0,237.0,0.06854460093896708,26.0,89.0,63.0,11.0,21.0,100.0,110.0,True,True,756.0,0.09110111622358458,0.056216338084552085,0.05,0.08085458113449115,0.053921731945367715,0.016666666666666666,0.08745675806758357,0.048397490967773585,0.008333333333333333,0.09300181021819484,0.05653039080448059,0.015873015873015872,,,,,,,,,,,,,,
T02_1984_TIGHTENING_CYCLE_END,T02_1984,1984,TIGHTENING_CYCLE_END,1984-08-09,DGS2,rate,1984-08-08,12.37,1984-08-09,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-401.0,26.000000000000156,224.0,19.0,-3.9999999999999147,2.000000000000135,16.999999999999993,-140.99999999999983,-234.0,-340.99999999999983,87.90024250011453,127.49368877699834,129.73212219574523,148.56362742751782
