asset,event_type,metric,n,mean,median,q25,q75,min,max
USD_BROAD,PAUSE_START,mae,3,-0.02607254256841966,-0.02273025514899174,-0.03702332457825347,-0.013450616848871888,-0.0513163940075152,-0.004170978548752036
USD_BROAD,PAUSE_START,mfe,3,0.026417599083554972,0.027253857359210043,0.020835508828268567,0.032417818476668914,0.014417160297327092,0.037581779594127784
USD_BROAD,PAUSE_START,time_to_event_min_obs,3,106.66666666666667,68.0,35.0,159.0,2.0,250.0
USD_BROAD,PAUSE_START,recovery50_obs_from_trough,3,122.33333333333333,26.0,25.5,171.0,25.0,316.0
USD_BROAD,PAUSE_START,recovery100_obs_from_trough,3,162.66666666666666,114.0,81.5,219.5,49.0,325.0
USD_BROAD,PAUSE_START,rv_60d_ann,3,0.04259674069483433,0.033872484899723464,0.03300989606601458,0.047821457426098654,0.032147307232305695,0.06177042995247384
USD_BROAD,PAUSE_START,down_semivol_60d_ann,3,0.0306617929333603,0.021656099374415406,0.02157055249650234,0.035250186590745816,0.021485005618589275,0.048844273807076226
USD_BROAD,TIGHTENING_CYCLE_END,ret_20d,3,-0.00042298957347693583,-0.006539761751448769,-0.011235936125709944,0.007331570889770156,-0.01593211049997112,0.02120290353098908
USD_BROAD,TIGHTENING_CYCLE_END,ret_60d,3,0.006181405884642703,-0.012439632968448078,-0.015934392299405742,0.018986684642145757,-0.019429151630363406,0.05041300225273959
USD_BROAD,TIGHTENING_CYCLE_END,ret_120d,3,-0.002599048951873758,-0.006744968547246155,-0.016765916340590215,0.0094948586391565,-0.026786864133934274,0.025734685825559156
USD_BROAD,TIGHTENING_CYCLE_END,ret_252d,3,-0.0015366438608388118,-0.005212489702584033,-0.026976918547364115,0.02206570790481388,-0.048741347392144196,0.049343905512211794
USD_BROAD,TIGHTENING_CYCLE_END,mdd,3,0.04133175177277785,0.04512670313790257,0.03485711333205793,0.04970386589606013,0.024587523526213295,0.05428102865421769
USD_BROAD,TIGHTENING_CYCLE_END,mae,3,-0.02656244817511962,-0.024587523526213295,-0.03943427609021549,-0.012703157935570586,-0.05428102865421769,-0.0008187923449278767
