date,legacy_26w_return,modern_126obs_return,legacy_sign,modern_sign,sign_agrees
2008-09-10,0.0821413182751074,0.11183819879101731,1,1,True
2008-09-17,0.09752907749639639,0.08304166621794806,1,1,True
2008-09-24,0.055390878694966394,0.04560292349606554,1,1,True
2008-10-01,0.06805219967925646,0.08238080047408602,1,1,True
2008-10-08,0.10495531141359704,0.11581128417026076,1,1,True
2008-10-15,0.13440914602262288,0.1501288285321296,1,1,True
2008-10-22,0.1594374423389806,0.18253457780064686,1,1,True
2008-10-29,0.18286387792983239,0.17170338667171592,1,1,True
2008-11-05,0.14892416364391825,0.1459388734589011,1,1,True
2008-11-12,0.16200551848410605,0.20149258210461984,1,1,True
2008-11-19,0.18663002051768096,0.20684734376296143,1,1,True
2008-11-26,0.19472538763976788,0.1786599701551317,1,1,True
2008-12-03,0.17708840175616003,0.18085317798628164,1,1,True
2008-12-10,0.16956880394159435,0.16739985426498571,1,1,True
2008-12-17,0.11309149493858972,0.09900051371038576,1,1,True
2008-12-24,0.10620811662682428,0.13150816453916914,1,1,True
2008-12-31,0.11814836007092344,0.12795347576685345,1,1,True
2009-01-07,0.12029199009269131,0.13755969513901145,1,1,True
2009-01-14,0.14328838686101264,0.17442234634725007,1,1,True
2009-01-21,0.17006252809793465,0.18941816027571767,1,1,True
2009-01-28,0.15048298109976455,0.14451259310224573,1,1,True
2009-02-04,0.14399902356617478,0.14264931220112986,1,1,True
2009-02-11,0.11307760243505216,0.1235662030091349,1,1,True
2009-02-18,0.12080608682168892,0.14237694780824794,1,1,True
2009-02-25,0.13203125104929003,0.14197748719376957,1,1,True
2009-03-04,0.13642078347358733,0.14431208328824807,1,1,True
2009-03-11,0.12258458298241859,0.11772540333259651,1,1,True
2009-03-18,0.1091000752938096,0.11310533944970347,1,1,True
2009-03-25,0.09205648341389883,0.10930453939055518,1,1,True
2009-04-01,0.1027946646947655,0.10126168688530002,1,1,True
2009-04-08,0.059772727857166696,0.06069266384634964,1,1,True
2009-04-15,0.03430575249970813,0.03148976308985407,1,1,True
2009-04-22,0.020733972033304182,0.002831374571415912,1,1,True
2009-04-29,-0.020407067353704345,-0.011990836634760194,-1,-1,True
2009-05-06,-0.009360193337291878,0.0016939863484630724,-1,1,False
2009-05-13,-0.03323281872600459,-0.05065006039522146,-1,-1,True
2009-05-20,-0.052479591336466846,-0.06894243374521347,-1,-1,True
2009-05-27,-0.07673425215191332,-0.06471310445705536,-1,-1,True
2009-06-03,-0.08741197995233707,-0.09154093472626179,-1,-1,True
