asset,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,drawdown,trough_month,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months,source_module,anchor_to_recovery50_months,anchor_to_recovery100_months,anchor_to_censor_months
SP500,PAUSE_START,T07_1999,B04,2000-06-28,1.0,0.2016941552670919,9.0,,,False,False,60.0,PHASE_CLOCK_004,,,69.0
SP500,PAUSE_START,T08_2004,B05,2006-08-08,1.0,0.0434586653126819,12.0,1.0,2.0,True,True,60.0,PHASE_CLOCK_004,13.0,14.0,72.0
SP500,PAUSE_START,T09_2015,B06,2019-01-30,1.0,0.0329303884257732,7.0,1.0,3.0,True,True,60.0,PHASE_CLOCK_004,8.0,10.0,67.0
SP500,PAUSE_START,T10_2022,B07,2023-09-20,1.0,0.0421679614905226,1.0,1.0,1.0,True,True,35.0,PHASE_CLOCK_004,2.0,2.0,36.0
NASDAQ,PAUSE_START,T02_1984,B01,1984-08-21,1.0,0.0400497902086219,4.0,1.0,1.0,True,True,60.0,PHASE_CLOCK_004,5.0,5.0,64.0
NASDAQ,PAUSE_START,T04_1987,B02,1987-11-03,1.0,0.1831315117846628,1.0,2.0,6.0,True,True,60.0,PHASE_CLOCK_004,3.0,7.0,61.0
NASDAQ,PAUSE_START,T06_1994,B03,1995-03-28,1.0,0.0274621572528328,7.0,1.0,4.0,True,True,60.0,PHASE_CLOCK_004,8.0,11.0,67.0
NASDAQ,PAUSE_START,T07_1999,B04,2000-06-28,1.0,0.5186461855521276,10.0,,,False,False,60.0,PHASE_CLOCK_004,,,70.0
NASDAQ,PAUSE_START,T08_2004,B05,2006-08-08,1.0,0.0435307639150225,12.0,1.0,2.0,True,True,60.0,PHASE_CLOCK_004,13.0,14.0,72.0
NASDAQ,PAUSE_START,T09_2015,B06,2019-01-30,1.0,0.0359102933989026,7.0,1.0,3.0,True,True,60.0,PHASE_CLOCK_004,8.0,10.0,67.0
NASDAQ,PAUSE_START,T10_2022,B07,2023-09-20,1.0,0.039307757282946,1.0,1.0,1.0,True,True,35.0,PHASE_CLOCK_004,2.0,2.0,36.0
WTI,PAUSE_START,T04_1987,B02,1987-11-03,1.0,0.3064229865208423,11.0,3.0,6.0,True,True,60.0,PHASE_CLOCK_004,14.0,17.0,71.0
WTI,PAUSE_START,T06_1994,B03,1995-03-28,1.0,0.1297405582599535,4.0,5.0,8.0,True,True,60.0,PHASE_CLOCK_004,9.0,12.0,64.0
WTI,PAUSE_START,T07_1999,B04,2000-06-28,1.0,0.20650806889339,9.0,22.0,23.0,True,True,60.0,PHASE_CLOCK_004,31.0,32.0,69.0
WTI,PAUSE_START,T08_2004,B05,2006-08-08,1.0,0.2639152296426282,5.0,5.0,6.0,True,True,60.0,PHASE_CLOCK_004,10.0,11.0,65.0
WTI,PAUSE_START,T09_2015,B06,2019-01-30,1.0,0.1550104666705353,9.0,2.0,19.0,True,True,60.0,PHASE_CLOCK_004,11.0,28.0,69.0
WTI,PAUSE_START,T10_2022,B07,2023-09-20,1.0,0.1798646597309875,12.0,18.0,18.0,True,True,24.0,PHASE_CLOCK_004,30.0,30.0,36.0
GOLD,FIRST_CUT,T01_1983,B01,1983-08-17,0.5,0.1553398058252427,11.0,26.0,26.0,True,True,60.0,PHASE_CLOCK_004,37.0,37.0,71.0
GOLD,FIRST_CUT,T02_1984,B01,1984-09-20,0.5,0.1408045977011494,5.0,2.0,17.0,True,True,60.0,PHASE_CLOCK_004,7.0,22.0,65.0
GOLD,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,0.0987654320987654,12.0,,,False,False,60.0,PHASE_CLOCK_004,,,72.0
GOLD,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,0.1625514403292181,11.0,,,False,False,60.0,PHASE_CLOCK_004,,,71.0
GOLD,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,0.1558752997601918,12.0,2.0,,True,False,60.0,PHASE_CLOCK_004,14.0,,72.0
GOLD,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,0.054320987654321,12.0,,,False,False,60.0,PHASE_CLOCK_004,,,72.0
GOLD,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,0.040590405904059,3.0,1.0,1.0,True,True,60.0,PHASE_CLOCK_004,4.0,4.0,63.0
GOLD,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,0.1425619834710744,12.0,5.0,12.0,True,True,60.0,PHASE_CLOCK_004,17.0,24.0,72.0
GOLD,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,0.0264725347452018,4.0,2.0,2.0,True,True,60.0,PHASE_CLOCK_004,6.0,6.0,64.0
GOLD,FIRST_CUT,T10_2022,B07,2024-09-18,1.0,0.0156133828996282,3.0,1.0,1.0,True,True,20.0,PHASE_CLOCK_004,4.0,4.0,23.0
