asset,anchor,event_month,n_legs,n_broad_episodes,weighted_median_cum_return,weighted_median_running_mdd,weighted_q75_running_mdd,weighted_new_event_low_share,weighted_new_running_mdd_share
NASDAQ,PAUSE_START,10,7,7,0.24971058174605787,0.039307757282946,0.1831315117846628,0.14285714285714285,0.14285714285714285
NASDAQ,PAUSE_START,11,7,7,0.2726807810230718,0.039307757282946,0.1831315117846628,0.0,0.0
NASDAQ,PAUSE_START,12,7,7,0.28092248301485134,0.04004979020862198,0.1831315117846628,0.0,0.14285714285714285
SP500,FIRST_CUT,1,10,7,0.036628844547408335,0.0,0.0,0.19047619047619047,1.0
SP500,FIRST_CUT,2,10,7,0.031828631131826324,0.0,0.04953919681312724,0.14285714285714285,0.33333333333333337
SP500,FIRST_CUT,3,10,7,0.016916164146552504,0.010776950036255117,0.04953919681312724,0.11904761904761904,0.3333333333333333
SP500,FIRST_CUT,4,10,7,0.043740541360095975,0.010776950036255117,0.10450035889982856,0.2619047619047619,0.4047619047619047
SP500,FIRST_CUT,5,10,7,0.08374174314078453,0.010776950036255117,0.10900614164722044,0.19047619047619047,0.23809523809523808
SP500,FIRST_CUT,6,10,7,0.0375612841760673,0.05873900085994532,0.10900614164722044,0.21428571428571427,0.5
SP500,FIRST_CUT,7,10,7,-0.019845673102474204,0.11081778482160776,0.11452565369324119,0.2857142857142857,0.3333333333333333
SP500,FIRST_CUT,8,10,7,-0.03533531110280719,0.1399472062006215,0.19090009142873288,0.2857142857142857,0.47619047619047616
SP500,FIRST_CUT,9,10,7,-0.044354114744874384,0.1399472062006215,0.19090009142873288,0.07142857142857142,0.07142857142857142
SP500,FIRST_CUT,10,10,7,0.010187132883267669,0.1399472062006215,0.19090009142873288,0.21428571428571427,0.21428571428571427
SP500,FIRST_CUT,11,10,7,0.07421544493133192,0.1399472062006215,0.19090009142873288,0.07142857142857142,0.14285714285714285
SP500,FIRST_CUT,12,10,7,0.10983906098752816,0.1399472062006215,0.20955023148589658,0.14285714285714285,0.35714285714285715
SP500,FIRST_HIKE,1,10,7,0.002232094155578901,0.0,0.019418962589300537,0.42857142857142855,1.0
SP500,FIRST_HIKE,2,10,7,-0.012555985234728784,0.03874130064552794,0.0846854814056811,0.8809523809523808,0.8809523809523808
SP500,FIRST_HIKE,3,10,7,-0.02623673866063836,0.04548772815961466,0.0846854814056811,0.4047619047619047,0.4523809523809524
SP500,FIRST_HIKE,4,10,7,-0.02407073570576279,0.05446329678463202,0.0846854814056811,0.2619047619047619,0.3095238095238095
SP500,FIRST_HIKE,5,10,7,0.021688928043894107,0.05446329678463202,0.0846854814056811,0.0,0.11904761904761904
SP500,FIRST_HIKE,6,10,7,0.0381283787092328,0.05446329678463202,0.0846854814056811,0.14285714285714285,0.14285714285714285
SP500,FIRST_HIKE,7,10,7,0.04812826091805089,0.05446329678463202,0.0846854814056811,0.14285714285714285,0.14285714285714285
SP500,FIRST_HIKE,8,10,7,0.0465562313052188,0.05446329678463202,0.0846854814056811,0.0,0.047619047619047616
SP500,FIRST_HIKE,9,10,7,0.045974415085296316,0.058639086441913624,0.0846854814056811,0.0,0.047619047619047616
SP500,FIRST_HIKE,10,10,7,0.029993241878846222,0.058639086441913624,0.0846854814056811,0.047619047619047616,0.19047619047619047
