asset,asset_label,primary_asset,anchor,cycle_id,broad_episode_id,cycle_start_year,anchor_date,episode_weight,baseline_period,ret_3m,ret_6m,ret_12m,mdd_12m,mae_12m,mfe_12m,event_trough_month,mdd_trough_month,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months
GOLD,Gold monthly World Bank/DataHub,True,PAUSE_START,T10_2022,B07,2022,2023-09-20,1.0,2023-08,0.0557582073996874,0.12454403335070352,0.3397602918186555,0.01063377286261169,-0.0015633142261594069,0.3397602918186555,1,9,1.0,1.0,True,True,26
SP500,S&P 500 cash index monthly average,True,PAUSE_START,T02_1984,B01,1984,1984-08-21,1.0,1984-07,0.10056923905398896,0.19729293910192158,0.24641737586018087,0.02201142956423241,0.0,0.2744702888550199,4,12,3.0,3.0,True,True,60
SP500,S&P 500 cash index monthly average,True,PAUSE_START,T04_1987,B02,1987,1987-11-03,1.0,1987-10,-0.07865423576299935,-0.08580785718413053,-0.03262303867955718,0.1399472062006215,-0.1399472062006215,0.0,1,1,3.0,13.0,True,True,60
SP500,S&P 500 cash index monthly average,True,PAUSE_START,T06_1994,B03,1994,1995-03-28,1.0,1995-02,0.1191666305914727,0.20094580972109388,0.34268841037208486,0.0037984380236238957,0.0,0.3478079754345189,1,12,2.0,2.0,True,True,60
SP500,S&P 500 cash index monthly average,True,PAUSE_START,T07_1999,B04,1999,2000-06-28,1.0,2000-05,0.034949010236725364,-0.06172105161935748,-0.12673364329533077,0.2016941552670919,-0.16399921957114294,0.04721866430598487,9,9,,,False,False,60
SP500,S&P 500 cash index monthly average,True,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,2006-07,0.10188599859951397,0.14644912892642492,0.15424308382147967,0.04345866531268194,0.0,0.20668395809449036,1,12,1.0,2.0,True,True,60
SP500,S&P 500 cash index monthly average,True,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,2018-12,0.13106829163730693,0.16702567554743197,0.27690313813485723,0.03293038842577323,0.0,0.27690313813485723,1,7,1.0,3.0,True,True,60
SP500,S&P 500 cash index monthly average,True,PAUSE_START,T10_2022,B07,2022,2023-09-20,1.0,2023-08,0.05108245296520941,0.16000817143605883,0.2611191649159754,0.0421679614905226,-0.0421679614905226,0.2611191649159754,1,1,1.0,1.0,True,True,35
NASDAQ,Nasdaq Composite monthly average,True,PAUSE_START,T02_1984,B01,1984,1984-08-21,1.0,1984-07,0.06021538865029652,0.22855581935857905,0.28331490494228584,0.04004979020862198,0.0,0.29964619724438424,4,4,1.0,1.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,PAUSE_START,T04_1987,B02,1987,1987-11-03,1.0,1987-10,-0.08174351152968073,-0.03420999761769283,-0.031585749733634594,0.1831315117846628,-0.1831315117846628,0.01648566079341962,1,1,2.0,6.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,PAUSE_START,T06_1994,B03,1994,1995-03-28,1.0,1995-02,0.1552983757306663,0.3401446784464819,0.39324952799215307,0.027462157252832853,0.0,0.39499561427939645,1,7,1.0,4.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,PAUSE_START,T07_1999,B04,1999,2000-06-28,1.0,2000-05,0.09845922398624052,-0.24674219715074375,-0.40141628215251757,0.5186461855521276,-0.45189922289381135,0.13866507474315348,10,10,,,False,False,60
NASDAQ,Nasdaq Composite monthly average,True,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,2006-07,0.15458313710405114,0.18869489757194136,0.21728001440517009,0.04353076391502253,0.0,0.2726807810230718,1,12,1.0,2.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,2018-12,0.17303004723523174,0.20417486415090957,0.3549991832365704,0.035910293398902615,0.0,0.3549991832365704,1,7,1.0,3.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,PAUSE_START,T10_2022,B07,2022,2023-09-20,1.0,2023-08,0.06921625379475649,0.18026853999649783,0.28092248301485134,0.039307757282946,-0.039307757282946,0.3074198811192783,1,1,1.0,1.0,True,True,35
WTI,WTI spot monthly average,True,PAUSE_START,T04_1987,B02,1987,1987-11-03,1.0,1987-10,-0.15405094258166652,-0.12242441685527039,-0.287499400393342,0.3064229865208423,-0.3064229865208423,0.0,11,11,3.0,6.0,True,True,60
