series_id,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,baseline_month,baseline_level,level_3m,change_3m_pp,level_6m,change_6m_pp,level_12m,change_12m_pp,level_24m,change_24m_pp,max_increase_24m_pp,max_pressure_month_24m,min_change_24m_pp,min_rate_month_24m,months_observed_0_24
MORTGAGE30US,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,1995-01,9.1475,7.955,-1.1925000000000008,7.86,-1.2875000000000005,7.075,-2.0725000000000007,7.65,-1.4975000000000005,-0.3200000000000003,0,-2.1175000000000015,11,25
MORTGAGE30US,PAUSE_START,T06_1994,B03,1995-03-28,1.0,1995-02,8.8275,7.566,-1.2615000000000007,7.636,-1.1915000000000004,7.624,-1.203500000000001,7.8975,-0.9300000000000006,-0.3655000000000008,0,-1.7975000000000012,10,25
MORTGAGE30US,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,1995-06,7.566,7.475,-0.09100000000000019,7.029999999999999,-0.5360000000000005,8.245000000000001,0.6790000000000012,7.4975,-0.06850000000000023,0.7540000000000004,11,-0.5360000000000005,6,25
MORTGAGE30US,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,1999-05,7.145,7.8225,0.6775000000000002,7.912000000000001,0.7670000000000012,8.288,1.1430000000000007,7.159999999999999,0.01499999999999968,1.370000000000001,11,-0.19299999999999962,21,25
MORTGAGE30US,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,2000-04,8.1525,8.0275,-0.125,7.745,-0.40749999999999975,7.145,-1.0075000000000003,6.806,-1.3464999999999998,0.3625000000000007,0,-1.5350000000000001,17,25
MORTGAGE30US,PAUSE_START,T07_1999,B04,2000-06-28,1.0,2000-05,8.515,7.912000000000001,-0.6029999999999998,7.382,-1.133000000000001,7.159999999999999,-1.3550000000000013,6.65,-1.8650000000000002,-0.2270000000000003,0,-1.8975000000000009,16,25
MORTGAGE30US,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,2000-12,7.382,7.0775,-0.3045,7.1275,-0.2544999999999993,6.9975,-0.38450000000000006,5.9159999999999995,-1.4660000000000002,-0.22200000000000042,5,-1.4660000000000002,24,25
MORTGAGE30US,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,2004-05,6.27,5.754,-0.516,5.752,-0.5179999999999998,5.582,-0.6879999999999997,6.6819999999999995,0.4119999999999999,0.4119999999999999,24,-0.6879999999999997,12,25
MORTGAGE30US,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,2006-05,6.5975,6.4025,-0.19500000000000028,6.135,-0.46250000000000036,6.657500000000001,0.0600000000000005,6.32,-0.27749999999999986,0.16500000000000004,1,-0.8395000000000001,19,25
MORTGAGE30US,PAUSE_START,T08_2004,B05,2006-08-08,1.0,2006-07,6.7625,6.24,-0.5225,6.285,-0.47750000000000004,6.572,-0.1905000000000001,6.4775,-0.28500000000000014,-0.0674999999999999,11,-1.0045000000000002,17,25
