cycle_id,cycle_start_year,event_type,event_date,event_period,baseline_period,baseline_price,event_month_omitted_from_clean_metrics,available_clean_post_months,mae,mfe,time_to_event_min_months,time_to_event_max_months,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,mdd_24m,mdd_peak_month_offset,mdd_trough_month_offset,peak_to_trough_months,rv_12m_ann,down_semivol_12m_ann,rv_24m_ann,down_semivol_24m_ann,recovery50_months_from_trough,recovery100_months_from_trough,recovery50_observed,recovery100_observed,recovery_censor_months
T05_1988,1988,FIRST_CUT,1989-06-06,1989-06,1989-05,371.0,True,24,-0.05121293800539084,0.12398921832884091,12,8,0.010781671159029615,-0.02425876010781669,0.10347708894878704,-0.05121293800539084,-0.010781671159029615,0.15587529976019188,8,12,4,0.1376697613034387,0.10003830565212021,0.1262884262193115,0.08261649702457906,2.0,,True,False,60
T06_1994,1994,FIRST_HIKE,1994-02-04,1994-02,1994-01,387.0,True,24,-0.025839793281653756,0.04651162790697683,2,24,-0.007751937984496138,-0.015503875968992276,-0.018087855297157618,-0.025839793281653756,0.04651162790697683,0.03826530612244894,7,12,5,0.05137651670439942,0.032736745769263075,0.048945960713572156,0.025862738157173194,2.0,11.0,True,True,60
T06_1994,1994,LAST_HIKE,1995-02-01,1995-02,1995-01,379.0,True,24,-0.08443271767810023,0.06860158311345654,24,12,0.0079155672823219,0.0158311345646438,0.013192612137203241,0.06860158311345654,-0.08443271767810023,0.14320987654320982,12,24,12,0.046484183494048134,0.018079693318785107,0.054936905605134805,0.0457682021079087,,,False,False,60
T06_1994,1994,PAUSE_START,1995-03-28,1995-03,1995-02,377.0,True,24,-0.07957559681697612,0.07427055702917773,23,11,0.037135278514588865,0.02917771883289122,0.01591511936339529,0.05039787798408479,-0.06631299734748008,0.14320987654320982,11,23,12,0.049712881198996736,0.029627965010477958,0.05283055911822327,0.0457682021079087,,,False,False,60
T06_1994,1994,FIRST_CUT,1995-07-06,1995-07,1995-06,388.0,True,24,-0.1649484536082474,0.04381443298969079,24,7,-0.010309278350515427,-0.012886597938144284,0.028350515463917425,-0.012886597938144284,-0.1649484536082474,0.19999999999999996,7,24,17,0.05063474925777597,0.03181668705825925,0.06270851748263123,0.06018447383247126,,,False,False,60
T07_1999,1999,FIRST_HIKE,1999-06-30,1999-06,1999-05,276.0,True,24,-0.07246376811594202,0.12681159420289845,1,4,-0.07246376811594202,-0.03985507246376807,0.0253623188405796,0.03623188405797095,-0.021739130434782594,0.16398713826366562,4,22,18,0.2130688556957911,0.09235467175836272,0.15388081067398382,0.07226206243155074,10.0,13.0,True,True,60
T07_1999,1999,LAST_HIKE,2000-05-16,2000-05,2000-04,280.0,True,24,-0.0714285714285714,0.12142857142857144,11,24,0.021428571428571352,-0.019749999999999934,-0.050000000000000044,-0.02857142857142858,0.12142857142857144,0.09090909090909094,1,11,10,0.07186282592389216,0.04826508165761015,0.0799493396036381,0.03902109368129045,5.0,10.0,True,True,60
T07_1999,1999,PAUSE_START,2000-06-28,2000-06,2000-05,275.0,True,24,-0.054545454545454564,0.16727272727272724,10,24,0.025454545454545396,-0.0036363636363636598,-0.014545454545454528,-0.018181818181818188,0.16727272727272724,0.07801418439716312,1,10,9,0.07113426880272253,0.04661031120396176,0.0797358869661508,0.037671517049990805,1.0,5.0,True,True,60
T07_1999,1999,FIRST_CUT,2001-01-03,2001-01,2000-12,271.0,True,24,-0.040590405904059046,0.31734317343173424,3,24,-0.03321033210332103,-0.040590405904059046,-0.011070110701106972,0.040590405904058935,0.31734317343173424,0.040590405904059046,0,3,3,0.07494635637010875,0.030783666138289742,0.08913431049808657,0.02964038152186747,1.0,1.0,True,True,60
T08_2004,2004,FIRST_HIKE,2004-06-30,2004-06,2004-05,384.0,True,24,0.0,0.7578125,0,23,0.03645833333333326,0.0546875,0.15104166666666674,0.12239583333333326,0.5520833333333333,0.11703703703703705,23,24,1,0.0858941083597809,0.04830700709635753,0.16174772192080922,0.09664057047385043,8.0,10.0,True,True,60
T08_2004,2004,LAST_HIKE,2006-06-29,2006-06,2006-05,675.0,True,24,-0.1318518518518519,0.43407407407407406,4,21,-0.06074074074074076,-0.1140740740740741,-0.06666666666666665,-0.028148148148148144,0.317037037037037,0.1318518518518519,0,4,4,0.1259538899424238,0.06985249864742188,0.14683142406721789,0.06794930069326896,3.0,6.0,True,True,60
T08_2004,2004,PAUSE_START,2006-08-08,2006-08,2006-07,634.0,True,24,-0.0757097791798107,0.526813880126183,2,19,-0.056782334384858024,-0.009463722397476393,0.04889589905362768,0.04889589905362768,0.32334384858044163,0.13326446280991733,19,24,5,0.10534940343005113,0.03670475102276388,0.1689057811180085,0.09833133206082387,6.0,13.0,True,True,60
T08_2004,2004,FIRST_CUT,2007-09-18,2007-09,2007-08,665.0,True,24,0.0,0.49863157894736854,0,24,0.13533834586466176,0.2075187969924812,0.45563909774436095,0.24812030075187974,0.49863157894736854,0.21384297520661155,6,14,8,0.2140535631520443,0.13782872765499285,0.185214165242533,0.1110365051890995,3.0,10.0,True,True,60
T09_2015,2015,FIRST_HIKE,2015-12-16,2015-12,2015-11,1086.0,True,24,0.0,0.2338858195211786,0,8,0.011049723756906049,0.14640883977900554,0.17495395948434633,0.06537753222836096,0.16390423572744006,0.13656716417910453,8,12,4,0.15063812212247585,0.08958446299752226,0.11620719952468649,0.06802223991626262,4.0,30.0,True,True,60
T09_2015,2015,LAST_HIKE,2018-12-19,2018-12,2018-11,1221.0,True,24,0.0,0.6126126126126126,0,20,0.05814905814905824,0.06552006552006562,0.11302211302211296,0.21130221130221138,0.5217035217035217,0.05637379380396135,20,24,4,0.09745677165716932,0.028071680383006878,0.1047498156134504,0.030584803996969157,15.0,28.0,True,True,60
T09_2015,2015,PAUSE_START,2019-01-30,2019-01,2018-12,1250.0,True,24,0.0,0.5751999999999999,0,19,0.05600000000000005,0.028799999999999937,0.13040000000000007,0.2487999999999999,0.49360000000000004,0.05637379380396135,19,23,4,0.10661049902132333,0.028071680383006878,0.10494842597748327,0.030584803996969157,15.0,28.0,True,True,60
T09_2015,2015,FIRST_CUT,2019-07-31,2019-07,2019-06,1359.0,True,24,0.0,0.44885945548197204,0,13,0.10375275938189854,0.10007358351729212,0.14863870493009568,0.35908756438557754,0.33038999264164826,0.12747587607922806,13,20,7,0.09580255998853934,0.020495859089695822,0.11013803884619586,0.0529320832256371,2.0,25.0,True,True,60
T10_2022,2022,FIRST_HIKE,2022-03-16,2022-03,2022-02,1856.0,True,24,-0.10344827586206895,0.16271551724137923,7,24,0.043642241379310276,-0.010237068965517238,-0.09428879310344829,0.030711206896551824,0.16271551724137923,0.14093959731543626,1,7,6,0.13777891159997768,0.09689881498116304,0.1146684848331762,0.070582638633012,3.0,6.0,True,True,46
T10_2022,2022,LAST_HIKE,2023-07-26,2023-07,2023-06,1943.0,True,24,-0.013896037056098764,0.7256819351518271,2,23,-0.012352032938754531,-0.013896037056098764,0.046834791559444255,0.23417395779722083,0.7189912506433351,0.015613382899628214,15,17,2,0.10054946325884678,0.01262660730233913,0.09584256728567156,0.014002531536377281,1.0,1.0,True,True,20
T10_2022,2022,PAUSE_START,2023-09-20,2023-09,2023-08,1919.0,True,24,-0.0015633142261594069,0.9114121938509641,1,24,-0.0015633142261594069,0.0557582073996874,0.12454403335070352,0.3397602918186555,0.9114121938509641,0.015613382899628214,13,15,2,0.095229484454563,0.012520419690333663,0.10234912106637249,0.013956854520780396,1.0,1.0,True,True,20
T10_2022,2022,FIRST_CUT,2024-09-18,2024-09,2024-08,2470.0,True,23,0.0,1.0323886639676112,0,17,0.08906882591093113,0.07206477732793526,0.20769230769230762,0.4850202429149797,,0.18864541832669324,17,22,5,0.11661906747092421,0.015828303547713637,0.17197333819156427,0.07743741203799744,,,False,False,1
